What is your gender?,Which category below includes your age?,What is the job title for your current position?,For which place do you have the strongest emotions?,How strong are these emotions?,What kind of feelings do you have for this place?,Why did you choose that place?,Is it where you lived as a child?,Are you proud of it?,Do you still live there?,Do you often find yourself telling other people about the place?,How does it make you feel when you talk about that place?,Is it important to you that others know about that place?,How much do you care other people's feeling about that place?,Do you often look at photos of that place?,Do you often collect things to do with that place?,Do you / did you take a lot of photos of that place?,Do you often wonder the history of that place?,Do you often research the history of that place?,Is there an area or landmark in that place that strongly represents it to you? What is it?,Is it a famous tourist attraction?,Why did you choose that area or landmark?,"When you thought of that area or that place, when images appeared in your mind, what's the weather and the season? Is it day or night? Is the image vivid or fuzzy? How many images appeared in your mind?",Are you part of an active community group in that place?,"If there is one or more active community groups, what are their main activities?",Do you think people in the community care about preserving the history of the place?,"Boo, how much is 3+5? We're nearly finished, we really care about your answers.",Have you ever thought about ways to record or share your feelings for that place?,In what ways do you currently record or share your feelings for that place?,"Imagine the most beautiful way to convey the feelings and experience of that place using an online website, what things would the website need to do or have?"
Female,21-29,Executive Officer,Home,Very strong,Have a Joy,Its have lot of love,Yes,A lot,Yes,Yes,Happy,Very important,A lot,Yes,Yes,Yes,Yes,Sometimes,Famous Temple,No,Its Big Temple,Lot,Active member,,Quite a bit,8,Yes,Remember a feelings,Facebook
Female,21-29,manager,India,Very strong,Motherly feeling,"I found lot of friends,relatives & learn t a lot",Yes,A lot,Yes,Yes,very proud and emotional,Fairly important,Quite a bit,Sometimes,Yes,Yes,Yes,Sometimes,yes. Temple,No,When ever i go there it makes me to feel good.,"summer,day,vivid,4",Occasional member,social service,Quite a bit,8,Yes,collecting so many photos and videos of that place and sharing with social networks,sharing photos
Male,21-29,Assistant,Hillside,Fairly strong,Happy,I enjoy it.,Yes,A lot,No,Yes,Feel good.,Fairly important,Quite a bit,Yes,Yes,Yes,Yes,Yes,Palace,Yes,Its a landmark,Lots of images.,Occasional member,Cleaning .,A lot,8,Yes,"Take pictures, write about it.","Post images, write something about it."
Male,30-39,Assembler,Iowa State Fair,Fairly strong,"Joy and happiness, a feeling of contentment yet at the same time excitement.","Because I have very fond memories of this place, and have been there many times.",No,No,No,Sometimes,It makes me feel good and happy.,Occasionally,Quite a bit,Sometimes,Sometimes,Yes,No,No,the grandstands,Yes,Because it is the epicenter of the culture and awesomeness that is the Iowa State Fair.,The season is summer and the weather is warm and beautiful.  It is daytime and the image is fairly vivid.  I had a few images appear in my mind.,Not a member,I don't know.,A lot,8,Sometimes,I use camera pictures and photo albums.,The website would need to have an image gallery and writeups by various people who have been there.
Male,21-29,Engineer,workplace,Fairly strong,work hard to improve,It is my part of life,No,A lot,No,Yes,It makes me very relax,Very important,A lot,Yes,Yes,Yes,Yes,Yes,Power Plant,No,It is very near to that place,God's image.,Occasional member,rural development,Quite a bit,8,Yes,"Photos, videos, Mailing","Photos, Videos"
Female,30-39,Computer Operator,MY COLLEGE,Very strong,"I CANT FORGET MY COLLEGE LIFE. I CANT EXPRESS MY FEELINGS, I ENJOYED MY COLLEGE LIFE WITH MY FRIENDS.",BECAUSE IT IS UNMEMORABLE LIFE. NOONE CAN FORGET THEIR COLLEGE LIFE.,No,A lot,No,Yes,when you talk about that place it make me feel very emotional with tears.,Very important,A lot,Yes,Yes,Yes,Yes,Yes,"YES, NEAR COLLEGE WE HAVE BUS STAND. THIS IS THE LANDMARK.",No,"WE OFTEN GO TO BUS STAND WHEN WE HAVE COLLEGE, THAT'S WHY I CHOOSE THAT LANDMARK.",THE WEATHER IS COOL AND IT IS WINTER SEASON. IT IS DAY. THE IMAGE IS VIVID. LOTS OF IMAGES APPEARS IN MIND.,Active member,CULTURAL PROGRAMMES,A lot,8,Yes,I HAVE TAKEN LOTS OF PHOTOS IN THAT PLACE WITH MY FRIENDS AND I SHARE THIS FEELINGS TO ALL MY FRIENDS.,THE WEBSITE CAN TELL ABOUT THE COLLEGE AND THE COURSES OFFERED IN THE COLLEGE AND THE FACILITIES IN THE COLLEGE.
Male,21-29,Software Engineer,BEACH,Average,Sadness and happiness,It is a calm and nice surrounding place to feel.,No,Quite a bit,No,,,,,,,,,,,,,,,,,,,,
Male,30-39,teacher,my hometown,Fairly strong,"good, positive ones",I was born there,Yes,Quite a bit,Yes,Sometimes,Mostly happy,Fairly important,Quite a bit,Sometimes,No,Sometimes,Yes,Yes,The main church,Yes,It's the most recognizable landmark in town,a summer day,Not a member,"sports, culture etc.",Quite a bit,8,Sometimes,A research project on my town's history,"Many pictures, probably tourist's reviews etc."
Male,21-29,System Engineer,India,Very strong,It's my mother land and I love it lot. I have lot of respect for this place.I am proud of it.,It's my mother land and I love it lot.,Yes,A lot,Yes,Yes,It makes me feel good.,Very important,A lot,Yes,Yes,Yes,Yes,Yes,Birla Temple at Jaipur,Yes,It famous tourist attraction and lot of tourists visit here.,Summer Season  Day  Vivid Image  Many Images almost 5-10,Not a member,Not sure,Quite a bit,8,No,I might write few blogs.,Website should have blog or forum where someone can express their feelings.
Female,30-39,Social worker,St. Augustin,Fairly strong,"Feelings of peace, tranquility and happiness",Because it is a place of comfort and I have good memories of it. It has a beach and a quiet downtown area,No,A lot,No,Yes,It makes me feel happy and proud.,Fairly important,Not really,Yes,Sometimes,Yes,Yes,Yes,The bridge,Yes,"Because when I see it or imagine it, t is the essence of st augustine",It is night in the summer and I am swimming in the ocean.,Occasional member,"Biking, surfing, boating",A lot,8,Yes,"I journal, talk to old friends and look at pictures","It would need to have the downtown, art and beaches  In the area. Maybe a video of a day in the life"
