"Tumor suppressor genes","Chromosome","Associated tumor"
"Rb","13q","Retinoblastoma, osteosarcoma"
"BRCA1","17q","Breast and ovarian cancer"
"BRCA2","13q","Breast cancer"
"p53","17q","Most human cancers, Li-Fraumeni syndrome"
"p16","9p","Melanoma"
"APC","5q","Colorectal cancer"
"WT1","11p","Wilms’ tumor"
"NF1","17q","Neurofibromatosis type 1"
"NF2","22q","Neurofibromatosis type 2"
"DPC","18q","Pancreatic cancer  DPC––Deleted in
Pancreatic Cancer."
"DCC","18q","Colon cancer  DCC––Deleted in
Colon Cancer."
