"Biochemistry 2",
"B1","Thiamine, TPP"
"B2","riboflavin, FAD, FMN"
"B3","Niacin, NAD+"
"B5","pantothenic acid, CoA "
"B6","pyridoxine, PLP"
"B-complex deficiencies ","often result in dermatitis, glossitis, and diarrhea."
,"All water soluble vitamins wash out easily from body except B12 and folate (stored in liver)."
"B12 ","cobalamin"
"C","ascorbic acid "
"Vitamin A (retinol) function ","antioxidant, constituent of visual pigments ( retinal), essential for normal differentiation of epithelial cells into specialized tissue ( pancreatic cells, mucus-secreting cells) "
"vitamin A (retinol) deficiency  ","night blindeness, dry skin"
"vitamin A (retinol) excess  ","Arthralgias, fatigue, headaches, skin changes, sore"
,"throat, alopecia."
,"Teratogenic ( cleft palate, cardiac abnormalities), pregnancy test must be done before isotretinoin is prescribed for severe acne. "
"Retinol","is vitamin A, so think Retin-A (used topically for wrinkles and acne)."
,"Found in leafy vegetables."
"Wernicke korsakoff ","confusion, ophthalmoplegis, ataxia and memory loss, confabulation, personality change. "
"Vitamin B1 ( Thiamine) deficiency ","Impaired glucose breakdown---ATP depletion. Highly aerobic tissues ( brain and heart ) are affected first. Wernicke-Korsakoff syndrome and beriberi. Seen in malnutrition as well as alcoholism ( secondary to malnutrition and malabsorption.) "
"cheilosis ","inflammation of lips, scaling and fissues at the corners of the mouth), corneal vascularization. "
,"vitamin B2 ( riboflavin deficiency) "
"Vitamin B3 excess ","facial flushing ( due to pharmacologic doses for treatment of hyperlipidemia). Vitamin B3 in corn not absorbable unless treated. Excess untreated corn in diet can lead to pellagra ( deficiency) "
"vitamin B6 ( pyridoxine) deficiency ","sideroblastic anemias, convulsion....."
"Vitamin B6 function ","cystathionine synthesis, heme syn, glycogen phosphorylase, decarboxylation reactions, ALT and AST transamination "
"Vitamin B12 deficiency caused by","malabsorption (sprue, enteritis, Diphyllobothrium latum), lack of intrinsic factor (pernicious anemia, gastric bypass surgery), or
absence of terminal ileum
(Crohn’s disease). Use Schilling test to detect
the etiology of the deficiency."
"Abnormal myelin is seen in B12 deficiency ","due to ↓ methionine or ↑ methylmalonic acid (from metabolism of accumulated methylmalonyl-CoA)."
"Drugs cause folic acid deficiency ","phenytoin, sulfonamides, MTX, seen in alcoholism and pregnancy. "
"SAM ","ATP + methionine=== SAM. Regeneration of methionine is dependent on vitamin B12 and folate. "
,"Sam transfers methyl units. "
,"Sam required for the conversion NE to epinephrine. "
"Biotin ","cofactor for carboxylation enzymes ( which add a 1-carbon group)"
"D2","ergocalciferol, consumed in milk."
"D3 ","cholecalciferol, formed in sun-exposed skin"
"storage form of vitamin D ","25-OH D3 "
"active form of vitamin D ","1,25 (OH)2 D3 (calcitriol)"
"Excess of vitamin D ","Hypercalcemia, loss of appetite, stupor. Seen in sarcoidosis, a disease where the epithelioid macrophages convert vitamin D into its active form."
"Vitamin E function ","Antioxidant ( protect erythrocytes and membrances from free-radical damage) "
"Vitamin K Function","Catalyzes γ-carboxylation of glutamic acid residues on various proteins concerned with blood clotting. Synthesized by intestinal flora. Therefore, vitamin K deficiency can occur after the prolonged use of broad-spectrum antibiotics."
"vitamin K deficiency ","Neonatal hemorrhage with ↑ PT and ↑ aPTT but normal bleeding time, because neonates have sterile intestines and are unable to synthesize vitamin K."
"zinc function ","essential for the activity of 100+ enzymes. Important in the formation of zinc fingers ( transcription factor motif) "
"ethanol metabolism ","ethanol ====acetaldehyde ( located in cytosol) ====acetate ( located in mitochondria) "
,"NAD+ is the limiting reagent, alcohol dehydrogenase operates via zero-order kinetics "
,"ethanol metabolism use up NAD+ "
"marasmus ","energy malnutrition resulting in tissue and muscle wasting, loss of subcutaneous fat, and variable edema. "
"kwashiorkor fatty liver ","fatty change due to decrease apolipoprotein syn "
"Hug takes two metabolism sites","Heme syn, Urea cycle, Gluconeogenesis "
"rate derterminging enzyme of glycolysis ","Phosphofructokinase-1 ( PFK-1) "
"De novo pyrimidine syn","carbamoyl phosphate synthetase II "
"gluconeogenesis ","fructose-1,6-bisphosphatase"
"glucokinase ","an enzyme that catalyzes the phosphorylation of glucose using a molecule of ATP"
"Kinase ","Use ATP to add high-energy phosphate group onto substrate ( e.g. phosphofructokinase) "
"phosphorylase ","adds inorganic phosphate onto substrate without using ATP ( glycogen phosphorylase) "
"phosphatase ","removes phosphate group from substrate ( e. g. fructose-1,6-biphosphatase) "
"dehydrogenase ","oxidizes substrate ( e. g pyruvate dehydrogenase) "
"carboxylase ","Add 1 carbon with the help of biotin ( e.g. pyruvae carboxylase) "
"Malate-aspartate shuttle ","heart and liver, aerobic metabolism, produce 32 ATP "
"glycerol-3-phosphate shuttle","muscle, aerobic metabolism, produce 30 ATP "
"ATP structure ","Base= Adenine, Triphosphate moiety, Ribose. "
"NADPH used in ","1. Anabolic processes 2. Respiratory burst 3. P-450 4. Glutathione reductase "
,"anabolic processes ( steroid and fatty acid synthesis) "
"phosphorylation of glucose to yield glucose-6-phosphate ","1st step of glycolysis, first step of glycogen syn in the liver. Catalyzed by hexokinase or glucokinase ( location depend) "
"glucokinase ","has high Vmax, it cannot be satisfied. "
"Glucose ","produce= glucose-6-phosphate, enzyme= hexokinase/ glucokinase, need ATP "
"fructose-6-P","produce= fructose-1,6-BP. Enzyme= phosphofructokinase-1, increase= AMP, fructose-2,6-BP. Inhibit= ATP and Citrate, need ATP "
"1,3-BPG ","procude= 3-PG, enzyme= phosphoglycerate kinase, produce ATP "
