,
"Gastrin","↑↑ in Zollinger- Ellison syndrome."
,"Phenylalanine and tryptophan are potent stimulators."
,"G cells Antrum of stomach"
,"↑ by stomach distention, amino acids, peptides, vagal stimulation
↓ by stomach pH < 1.5"
"CCK ","I cells Duodenum Jejunum"
,"↑ pancreatic secretion ↑ gallbladder"
,"contraction ↓ gastric emptying"
,"In cholelithiasis, pain worsens after fatty food ingestion due to ↑ CCK."
,"regulated by ↑ fattyacids, amino acids"
"Secretin","S cells Duodenum"
,"↑ pancreatic HCO3– secretion"
,"↓ gastric acid secretion ↑ bile secretion"
,"regualted by ↑ by acid, fatty acids in lumen of duodenum pancreatic enzymes to function."
"Somatostatin","D cells Pancreatic"
,"islets GI mucosa"
,"↓ gastricacidand pepsinogen secretion"
,"↓ pancreaticandsmall intestine fluid secretion ↓ gallbladdercontraction"
,"↓ insulinandglucagon release"
,"Inhibitory hormone. Antigrowth hormone"
,"effects (digestion and absorption of substances needed for growth)."
,"Used to treat VIPoma and carcinoid tumors."
"Gastric inhibitory peptide (GIP)","K cells Duodenum Jejunum"
,"Exocrine: ↓ gastric H+ secretion Endocrine: ↑ insulin release"
,"An oral glucose load is used more rapidly than the equivalent given by IV."
"Vasoactive intestinal polypeptide (VIP)","Parasympathetic ganglia in sphincters, gallbladder, small intestine"
,"↑ intestinal water and electrolyte secretion"
,"↑ relaxation of intestinal smooth muscle and sphincters"
"VIPoma","non-α, non-β islet cell pancreatic tumor that secretes VIP. Copious diarrhea."
"Motilin","Small intestine, roduces migrating motor complexes (MMCs), increase in fastin state "
"ghrelin ","P/D1 cell in stomach, increase growth hormone, ACTh, cortisol, and prolactin secretion. "
,"regulated by increase before meal but decrease after meal"
,"regualtes hunger and meal initiation. Lost following gastric bypass surgery."
,"associated with hyperphagia in prader- willi "
"Gastric acid","Parietal cells Stomach"
,"Regulated ↑ by histamine, ACh, gastrin"
,"↓ by somatostatin, GIP, prostaglandin, secretin"
"Pepsin","↑ by vagal stimulation, local acid"
