,
"Hürthle cell","characterized as enlarged epithelial cells with abundant eosinophilic granular cytoplasm as a result of altered mitochondria."
"After a stressful life event, 30-year-old man has diarrhea and blood per rectum; intestinal biopsy shows transmural inflammation.","Crohn’s disease."
"Young man presents with mental deterioration and tremors. He has brown pigmentation in a ring around the periphery of his cornea and altered LFTs.","Penicillamine for Wilson’s disease."
"20-year-old man presents with idiopathic hyperbilirubinemia.","Gilbert’s syndrome."
"55-year-old man with chronic GERD presents with esophageal cancer.","Adenocarcinoma."
"Woman presents with alternating bouts of painful diarrhea and constipation. Colonoscopy is normal.","Irritable bowel syndrome."
"Sally Struthers Eats Indian Toddlers To Enlarge Peritoneum.","skin, superficial fascia, external oblique, internal oblique, transversus obdominis, tranversalis fascia, extraperitoneal tissue, peritoneum. "
"Retroperitoneal structures","1. Duodenum (2nd, 3rd, 4th parts)"
,"2. Descending colon 3. Ascending colon 4. Kidney and ureters 5. Pancreas (except tail) 6. Aorta"
,"7. IVC Adrenal glands and rectum (not"
,"shown in diagram)"
"falciform ","liver to anterior abdorminal wall, ligamentum teres, derivative of fetal umbilical vein "
"hepatoduodenal ","liver to duodenum, contain portal triad, hepatic artery, portal vein, common bil duct. Contain greater and lesser sacs. May be compressed between thumb and index finger placed in omental foramen ( epiploic foramen of winslow) to control bleeding. "
"gastrohepatic ","liver to lesser curvature of stomach. Contain gastric artery, saparates right greater and lesser sacs. Maybe cut during surgery to access lesser sac "
"gastrocolic ","greater curvature and tranverse colon, contain gastroepiloic arteries, part of greater omentum "
"gastrosplenic ","greater curvature and spleen, contain short gastrics, separates left greater and lesser sacs"
"splenorenal ","spleen to posterior abdominal wall, contains splenic artery and vein"
"Digestive tract anatomy","Layers of gut wall (inside to outside):"
,"1. Mucosa––epithelium (absorption), lamina propria (support), muscularis mucosa (motility)"
,"2. Submucosa––includes Submucosal nerve plexus (Meissner’s)"
,"3. Muscularis externa–– includes Myenteric nerve plexus (Auerbach’s)"
,"4. Serosa/adventitia"
,"Frequencies of basal electric rhythm (slow waves):"
,"Stomach––3 waves/min Duodenum––12 waves/min Ileum––8–9 waves/min"
"esophagus ","nonkeratinized stratified squamous epithelium "
"stomach","gastric glands "
"duodenum ","villi and microvilli, duodenum > jejunum > ileum. Brunner's glands ( submucosa) and crypts of leiberkuihn"
"jejunum ","jejunum has largest of goblet cells in the small intestine. Plicae circulares and crypts of lieberkuhn"
"ileum ","peyer's patches ( lamina propia, submucosa), plicae circulares ( proximal ileum), and crypts of lieberkuhn. "
"colon ","colon has crypts but no villi "
