,
"sonic hedgehog gene ","produced at base of limbs in zone of polarizing activity, involved in patterning along anterior posterior axis "
"wnt-7 gene","Produced at apical ectodermal ridge (thickened ectoderm at distal end of each developing limb). Necessary for proper organization along dorsal-ventral axis."
"FGF gene","Produced at apical ectodermal ridge. Stimulates mitosis of underlying mesoderm. providing for lengthening of limbs."
"Homeobox gene","Involved in segmental organization"
"Day 0","Fertilization by sperm forming"
,"zygote, initiating embryogenesis"
"Within week 1","Implantation (as a blastocyst)."
,"hGG secretion begins "
"Within week 2","Bilaminar disk (epiblast, hypoblast"
"Within week 3","Gastrulation."
,"Primitive streak,	notochord,"
,"and neural plate begin to form."
"Weeks 3–8","Organogenesis. Extremely susceptible to teratogens."
,"Neural tube formed by neuroectoderm and closed by week 4."
"Week 4","Heart begins to beat."
,"Upper and lower limb buds begin to form."
"Week 8","Fetal movement; fetus looks like a baby."
"Week 10","Genitalia have male/female characteristics."
"Alar plate (dorsal)","Sensory, same orientation as spinal cord "
"Basal plate (ventral)","Motor"
"Rule of 2’s for 2nd week","2 germ layers (bilaminar disk): epiblast, hypoblast. 2 cavities: amniotic cavity, yolk sac. 2 components to placenta: cytotrophoblast,"
,"syncytiotrophoblast."
"Rule of 3’s for 3rd week","3 germ layers (gastrula): ectoderm, mesoderm,"
,"endoderm."
"Rule of 4’s for 4th week","4 heart chambers. 4 limb buds grow."
"Surface ectoderm","Adenohypophysis ( from Rathke's pouch); lens of eye; epithelial linings of skin, ear, eye, and nose; epidermis."
,"retina, and olfactory epithelium, salivary, sweat, and mammary glands. "
"Neuroectoderm","Neurohypophysis, CNS neurons, oligodendrocytes, astrocytes, ependymal cells, pineal gland."
,"retina, spinal cord , think CNS and brain. "
"Neural crest","ANS, dorsal root ganglia, melanocytes, chromaffin cells of adrenal medulla,"
,"enterochromaffin cells, pia and arachnoid, celiac ganglion, Schwann cells, odontoblasts,"
,"parafollicular (C) cells of thyroid, laryngeal cartilage, bones of the skull."
,"cranial nerves, celiac ganglion"
,"Neural crest-think PNS and non-neural structures nearby."
,"Odonto = teeth, Think Crest toothpaste. "
"cranipharyngioma ","benign Rathke's pouch tumor with chlosterol crystals, calcifications. "
