,
"Compression of the IVC.","Pregnant woman in 3rd trimester has normal blood pressure when standing and sitting. When supine, blood pressure drops to 90/50."
"Coarctation of the aorta.","35-year-old man has high blood pressure in his arms and low pressure in his legs."
"ASD","5-year-old boy presents with a systolic murmur and wide, fixed split S2."
"Temporal arteritis.","Elderly woman presents with a headache and jaw pain. Labs show elevated ESR."
"Aortic stenosis.","80-year-old man presents with a systolic crescendo-decrescendo murmur."
"Niacin.","Man starts a medication for hyperlipidemia. He then develops a rash, pruritus, and GI upset."
"Quinidine.","Patient presents with ringing in the ears, dizziness, headaches, and GI distress."
"Mediastinal widening.","atient with a history of hypertension presents with sudden sharp, tearing pain radiating to the back"
"Mitral insufficiency","On auscultation, a pansystolic murmur at the apex with radiation to the axilla is noted."
"Carotid sheath","3 structures inside: 1. Internal jugular Vein (lateral) 2. Common carotid Artery (medial) 3. Vagus Nerve (posterior)"
"he most posterior part of the heart ","the left atrium; enlargement can cause dysphagia= compression of esophageal nerve  or hoarseness= compression of recurrent laryngeal nerve, branch of vagas "
"the SA and AV nodes are supplied","RCA 80% "
"CO ","rate of O2 consumption / arterial O2 content − venous O2 content, Stroke volume *heart rate"
"mean arterial pressure ","cardiac output × total peripheral resistance,  2⁄3 diastolic pressure + 1⁄3 systolic pressure."
"Pulse pressure","ystolic pressure – diastolic pressure. Pulse pressure is proportion to stroke volume."
"strock volume ","CO/ HR  = EDV – ESV "
"Contractility (and SV) ↓ with:","1. β1 blockade 2. Heart failure 3. Acidosis 4. Hypoxia/hypercapnea 5. Non-dihydropyridine Ca2+ channel blockers"
"Contractility (and SV) ↑ with:","1. Catecholamines (↑ activity of Ca2+ pump "
,"in sarcoplasmic reticulum) 2. ↑ intracellular calcium 3. ↓ extracellular sodium 4. Digitalis (↑ intracellular Na+, resulting"
,"in ↑ Ca2+)"
"Venodilators (e.g., nitroglycerin) ","↓ preload."
"Vasodilators (e.g., hydralazine)","↓ afterload."
"Preload ↑","with exercise (slightly), ↑ blood volume (overtransfusion), and excitement (sympathetics). Preload pumps up the heart."
"Ejection fraction (EF)","EF =	SV	= EDV – ESV EDV	EDV"
,"EF is an index of ventricular contractility. EF is normally ≥ 55%."
"S3","in early diastole during rapid"
,"ventricular filling phase. Associated with ↑ filling pressures and more common in dilated ventricles (but normal in children)."
"S4 (“atrial kick”)","high atrial pressure. Associated with ventricular hypertrophy."
"jugular venous pulse ","a wave––atrial contraction. c wave––RV contraction (tricuspid valve"
,"bulging into atrium). v wave–– ↑ atrial pressure due to"
,"Filling ( venous return ) against closed tricuspid valve."
"S2 splitting:","aortic valve closes before"
,"pulmonic; inspiration ↑ this difference."
"Wide splitting","associated with pulmonic stenosis, or right branch block, seen in delay RV emptying= delayed pulmonic sound, "
"Paradoxical splitting ","associated with aortic stenosis or left bundle branch block  ( Expiration= wide, inspiration= smaller), delay LV emptying= P2 sound occurs before A2 sound. On inspiration, later P2 and earlier A2 move closer to one another.  "
"fixed splitting ","increase flow through pulmonic valve= pulmonic closure is greatly delayed "
"ASD","commonly presents with a pulmonary flow murmur (↑ flow through pulmonary valve) and a diastolic rumble (↑ flow across tricuspid). The murmur later progresses to a louder diastolic murmur of pulmonic regurgitation from dilatation of the pulmonary artery."
"Mitral/tricuspid regurgitation","Holosystolic, high-pitched “blowing murmur.” Mitral––loudest at apex and radiates toward axilla. Enhanced by maneuvers that increase TPR ( aquatting and hand grip) or LA return ( expiration).   Tricuspid––loudest at tricuspid area and radiates to right.enhanced by maneuvers that increase RA return ( inspiration) "
,"sternal border."
"Aortic stenosis","Crescendo-decrescendo systolic ejection murmur following ejection click (EC). LV >> aortic pressure during systole. Radiates to carotids/apex. “Pulsus parvus et tardus”––pulses weak compared to heart sounds."
"VSD","Holosystolic, harsh-sounding murmur. Loudest at tricuspid area."
"Mitral prolapse","Late systolic murmur with midsystolic click (MC). Most frequent valvular lesion. Loudest at S2."
"Aortic regurgitation","Immediate high-pitched “blowing” diastolic murmur. Wide pulse pressure when chronic."
"Mitral stenosis","Follows opening snap (OS). Delayed rumbling late diastolic murmur. LA >> LV pressure during diastole. Tricuspid stenosis differs because it gets louder with inspiration (more blood flows into RA upon inspiration)."
"PDA","Continuous machine-like murmur. Loudest at time of S2."
"Cardiac muscle contraction","dependent on extracellular calcium, which enters the cells during plateau of action potential and stimulates calcium release from the cardiac muscle sarcoplasmic reticulum (calcium-induced calcium release)."
"In contrast to skeletal muscle:","Cardiac muscle action potential has a plateau, which is due to Ca2+ influx 2. Cardiac nodal cells spontaneously depolarize, resulting in automaticity 3. Cardiac myocytes are electrically coupled to each other by gap junctions"
"P wave","atrial depolarization"
"PR interval","conduction delay through AV node (normally < 200 msec)."
"QRS complex","ventricular depolarization (normally < 120 msec)."
"T wave","ventricular repolarization, Atrial repolarization is masked by QRS complex."
"ST segment","isoelectric, ventricles depolarized."
"U wave","caused by hypokalemia, bradycardia."
