,
"A certain screening test has a 2% false-negative rate.","Sensitivity is 98%."
"During a particular stage of sleep, man has variable blood pressure and EEG together with penile tumescence.","REM sleep"
"The disease duration is 2 times longer in population A.","The prevalence of influenza in population A is 2 times the prevalence of influenza in population B. The incidence is the same in populations A"
,"and B."
"Four years old.","irl can groom herself, can hop on one foot, and has an imaginary friend."
"Systematic desensitization.","Woman with anxiety about a gynecologic exam is told to relax and to imagine going through the steps of the exam."
"Case-control study","Compares a group of people with disease to a group without."
,"Asks, “What happened?Odds ratio (OR)."
"Cohort study","Compares a group with a given risk factor to a group"
,"without to assess whether the risk factor ↑"
,"the likelihood of disease. Asks, “What will happen?”Relative risk (RR)"
"Cross-sectional study","Collects data from a group of people to assess"
,"frequency of disease (and related risk factors) at a"
,"particular point in time. Asks, “What is happening?”Disease prevalence"
"Prevalence","total cases in population at a given time/  total population at risk"
"Incidence","new cases in population over a given / time period total population at risk during"
"incidence ","new incidents "
"prevalence and incidence ","Prevalence ≅ incidence × disease duration."
,"Prevalence > incidence for chronic diseases (e.g., diabetes)."
,"Prevalence = incidence for acute disease (e.g., common cold)."
"Sensitivity","Proportion of all people with disease who test positive."
,"1 – false-negative rate"
"Specificity","roportion of all people without disease who test negative.1 – false-positive rate"
"Positive predictive value (PPV)","Proportion of positive test results that are true positive."
"Odds ratio (OR) for case control studies","Odds of having disease in exposed group divided by odds of having disease in unexposed group."
"Relative risk (RR) for cohort studies","Relative probability of getting a disease in the exposed group compared to the unexposed group."
,"Calculated as percent with disease in exposed group divided by percent with disease in unexposed group."
"Attributable risk","The difference in risk between exposed and unexposed groups, or the proportion of disease occurrences that are a result of the exposure (e.g., smoking causes one-third of cases of pneumonia)."
"Null (H0)","Hypothesis of no difference (e.g., there is no association between the disease and the risk factor in the population)."
"Alternative (H1)","Hypothesis that there is some difference (e.g., there is some association between the disease and the risk factor in the population)."
"Type I error (α)","there is an effect or difference when none exists (to mistakenly accept the experimental hypothesis and reject the null hypothesis). p = probability of making a type I error. p is judged against α, a preset level of significance (usually < .05)."
"Type II error (β)","tating that there is not an effect or difference when one exists (to fail to reject the null hypothesis when in fact H0 is false)."
,"β is the probability of making a type II error."
"α ","you “saw” a difference that did not exist––for example, convicting an innocent man."
"β ","you did not “see” a difference that does exist–– for example, setting a guilty man free."
"Power (1 – β)","Probability of rejecting null hypothesis when it is in fact false, or the likelihood of finding a difference if one in fact exists. It depends on:"
,"1. Total number of end points experienced by population"
,"2. Difference in compliance between treatment groups (differences in the mean values between groups)"
,"3. Size of expected effect"
"Confidence interval","The 95% CI (corresponding to p = .05) is often"
,"used. For the 95% CI, Z = 1.96."
"t -test vs.ANOVA vs. Χ2","t-test checks difference between the means "
,"ANOVA checks difference between the means of"
,"3 or more groups. χ2 checks difference between 2 or more percentages"
,"or proportions of categorical outcomes (not mean values)."
"Disease prevention","1°––prevent disease occurrence (e.g., vaccination). 2°––early detection of disease (e.g., Pap smear). 3°––reduce disability from disease (e.g.,"
,"exogenous insulin for diabetes)."
"High-risk sexual","HIV, hepatitis B, syphilis, gonorrhea, chlamydia tests"
"12–24 mo","Climbs stairs, stacks 3 blocks, Object permanence; 200 words and 2-word sentences at age 2"
"18–24 mo","Stacks 6 blocks, Rapprochement"
"24–48 mo","Parallel play"
"24–36 m","Core gender identity"
