,
"Non-Hodgkin’s","Associated with HIV and immunosuppression Multiple, peripheral nodes; extranodal involvement"
,"common; noncontiguous spread Majority involve B cells (except those of"
,"lymphoblastic T-cell origin) No hypergammaglobulinemia Fewer constitutional signs/symptoms Peak incidence 20–40 years of age"
"mantle cell lymphoma ","CD 5+. CD 19, 20 +. CD 23 -. 3 years die. T( 11,14) 11= BCL-1=cyclin D, 14= IgH, 11 years first bicycle. Mantle zone. "
"small non-cleaved NHL ","(8, 14), c-myc. EBV+, CD 21+ fusion bar age,starry sky "
"lymphoplasmalytic NHC Waldenstron, macroglobulinemia ","IgM, increase lymphy nodes, 40-60 years old, hypervasicosity, strock like, blue hand and cold glutilation.  Increase blood dense. M spike = IgM (→ hyperviscosity symptoms); no lytic bone lesions"
"mycosis fungoides","T cell skin tumor, 40-50, rash, ulceration and fungle, skin biopsy= dermis migrate to epidermis, clot from dermis. Sezary sign in blood "
"Multiple myeloma","Monoclonal plasma cell (“fried-egg” appearance) cancer that arises in the marrow and produces large amounts of IgG (55%) or IgA (25%). Most common 1° tumor arising within bone in the elderly (> 40–50 years of age). Destructive bone lesions and consequent hypercalcemia. Renal insufficiency, ↑ susceptibility to infection, and anemia. Associated with 1° amyloidosis (AL) and punched-out lytic bone lesions on x-ray. Characterized by monoclonal immunoglobulin spike (M protein) on serum protein electrophoresis and Ig light chains in urine (Bence Jones protein). Blood smear shows RBCs stacked like poker chips (rouleaux formation)."
,"Think Crab= hyperCalcemia, Renal insufficient, Anemia, Bone/Back pain"
"ALL ","lymphoblast, TdT and CD10, Calla, pre- B ALL. CNS and testes spread, testes no cure comes back, Tumor lysis syn= increase K and uric acid= renal failure. Good prognosis. Age 3-7"
"AML ","myeloperoxidase and sudan B black +. M3= DIC= ( 15, 17)= acute promyelocytic leukemia "
,"M5= CNS, gingiva skin( chloroma) =NE +"
,"M7= myelofibrosis= tear drop"
,"Treatment= All trans Vitami A "
"Leukemoid reaction"," with left shift (e.g., 80% bands) and ↑ leukocyte alkaline phosphatase."
"Auer bodies (rods)","Auer rods are peroxidase-positive cytoplasmic inclusions in granulocytes and myeloblasts. Primarily seen in acute promyelocytic leukemia (M3)."
"Histiocytosis X","Caused by Langerhans cells from the monocyte lineage that infiltrate the lung. Birbeck granules (“tennis rackets” on EM). Primarily affects young adults. Worse with smoking."
,"defective cell express S-100 and CD 1a. Older terms= letterer siwe disease, hand-schuller-christian disease, eosinophilic granulomas"
"T( 11, 22) ","ewing's sarcoma "
"JAK2","involved in hematopoietic growth factor signaling. Mutation are implicated in myeloproliferative disorders other than CML "
"myeloficrosis","ficrotic obliteration of bone marrow. Decrease RBC. "
"Essential thrombocytosis ","similar to polycythemia vera, but secific for megakaryocytes. "
"Soccer player who was kicked in the leg suffered a damaged medial meniscus.","Anterior cruciate ligament (remember the “unhappy triad”)."
"unhappy triad ","Anterior cruciate ligament, medial collateral ligament, lateral meniscus "
"Gymnast dislocates her shoulder anteriorly.","Axillary nerve (C5, C6)."
"X-ray shows bilateral hilar lymphadenopathy.","Sarcoidosis."
"25-year-old woman presents with a low-grade fever, a rash across her nose that gets worse when she is out in the sun, and widespread edema.","SLE"
"85-year-old man presents with acute knee pain and swelling. X-ray shows joint space without erosion.","Pseudogout; rhomboid calcium pyrophosphate crystals."
"Patient describes ↓ prick sensation on the lateral aspect of her leg and foot.","Dorsiflexion and eversion of the foot (common peroneal nerve)."
"Elderly woman presents with arthritis, pain, numbness, and tingling over the lateral digits of her right hand. On exam, she has wasting of the thenar eminence.","Carpal tunnel syndrome, median nerve compression."
