,
"Gram stain limitations","These Rascals May Microscopically Lack Color."
,"Treponemes––darkfield microscopy and fluorescent antibody staining."
,"Mycobacteria––acid fast. Legionella––silver stain."
,"Mycobacteria (high-lipid-content cell wall requires"
,"acid-fast stain). Mycoplasma (no cell wall). Legionella pneumophila (primarily intracellular). Chlamydia (intracellular parasite; lacks muramic"
"Bacterial growth curve","Lag––metabolic activity without division."
,"Log––rapid cell division. Stationary––nutrient depletion"
,"slows growth. Spore formation"
,"in some bacteria. Death––prolonged nutrient"
,"depletion and buildup of waste products lead to death."
"S. aureus protein A","Binds Fc region of Ig."
"IgA protease","Enzyme that cleaves IgA. Polysaccharide capsules also inhibit phagocytosis. Secreted by S. pneumoniae, H. influenzae, and Neisseria."
"Group A streptococcal M protein","Helps prevent phagocytosis."
"Superantigens","Bind directly to MHC II and T-cell receptor simultaneously, activating large numbers of T cells to stimulate release of IFN-γ and IL-2."
"S. aureus","TSST-1 superantigen causes toxic shock syndrome (fever, rash, shock). Other S. aureus toxins include enterotoxins that cause food poisoning as well as exfoliatin, which causes staphylococcal scalded skin syndrome."
"S. pyogenes","Scarlet fever–erythrogenic toxin causes toxic shock–like syndrome."
"ADP ribosylating A-B toxins","Interfere with host cell function. B (binding) component binds to a receptor on surface of host cell, enabling endocytosis. A (active) component then attaches an ADP-ribosyl to a host cell protein (ADP ribosylation), altering protein function."
"Corynebacterium diphtheriae","Inactivates elongation factor (EF-2) (similar to Pseudomonas exotoxin A); causes pharyngitis and “pseudomembrane” in throat."
"Vibrio cholerae","ADP ribosylation of G protein stimulates adenylyl cyclase; ↑ pumping of Cl− into gut and ↓ Na+ absorption. H2O moves into gut lumen; causes voluminous rice-water diarrhea."
"E. coli","Heat-labile toxin stimulates Adenylate cyclase. Heat-stable toxin stimulates Guanylate cyclase. Both cause watery diarrhea. “Labile like the Air, stable like the Ground.”"
"Bordetella pertussis","Increases cAMP by inhibiting Gαi; causes whooping cough; inhibits chemokine receptor, causing lymphocytosis."
"Clostridium perfringens","α toxin causes gas gangrene; get double zone of hemolysis on blood agar."
"C. tetani","Blocks the release of inhibitory neurotransmitters GABA and glycine; causes “lockjaw.”"
"C. botulinum","locks the release of acetylcholine; causes anticholinergic symptoms, CNS"
,"paralysis, especially cranial nerves; spores found in canned food, honey (causes floppy"
,"baby)."
"Bacillus anthracis","1 toxin in the toxin complex is an adenylate cyclase."
"Shigella","Shiga toxin (also produced by E. coli O157:H7) cleaves host cell rRNA; also enhances"
,"cytokine release, causing HUS."
"S. pyogenes","Streptolysin O is a hemolysin; antigen for ASO antibody, which is used in the diagnosis"
,"of rheumatic fever."
"Fermentation patterns of Neisseria","MeninGococci ferment Maltose and Glucose."
,"Gonococci ferment Glucose."
"Pigment-producing bacteria","S. aureus––yellow pigment. Pseudomonas aeruginosa––blue-green pigment. Serratia marcescens––red pigment."
,"Aureus (Latin) = gold. AERUGula is green. Serratia marcescens––think"
,"red maraschino cherries!"
"Staphylococci","NOvobiocin––Saprophyticus is Resistant; Epidermidis is Sensitive."
"Streptococci","Optochin––Viridans is Resistant; Pneumoniae is Sensitive."
,"Bacitracin––group B strep are Resistant; group A strep are Sensitive."
"Transformation","DNA taken up directly from environment by competent prokaryotic and eukaryotic cells. Any DNA can be used."
"F+ × F– conjugation ","F+ plasmid contains genes required for conjugation process. Bacteria without this plasmid are termed F–. Plasmid is replicated and transferred through pilus from F+ cell. Plasmid DNA only; no transfer of chromosomal genes."
"Hfr × F–","F+ plasmid can become incorporated into bacterial chromosomal DNA, termed Hfr cell. Replication of incorporated plasmid DNA may include some flanking chromosomal DNA. Transfer of plasmid and chromosomal genes."
"Transduction generalized ","Lytic phage infects bacterium, leading to cleavage of bacterial DNA and synthesis of viral proteins. Parts of bacterial chromosomal DNA may become packaged in viral capsid. Phage infects another bacterium, transferring these genes."
"Specialized","Lysogenic phage infects bacterium; viral DNA incorporated into bacterial chromosome. When phage DNA is excised, flanking bacterial genes may be excised with it. DNA is packaged into phage viral capsid and can infect another bacterium."
"Transposition","Segment of DNA that can “jump” (excision and reincorporation) from one location to another, can transfer genes from plasmid to chromosome and vice versa. When excision occurs, may include some flanking chromosomal DNA, which can be incorporated into a plasmid and transferred to another bacterium."
"Lysogeny","Genetic code for a bacterial toxin encoded in a lysogenic phage."
,"ShigA-like toxin Botulinum toxin (certain strains) Cholera toxin Diphtheria toxin Erythrogenic toxin of Streptococcus pyogenes"
"Obligate aerobes","Use an O2-dependent system to generate ATP. Examples include Nocardia, Pseudomonas, aeruginosa, Mycobacterium tuberculosis, and
Bacillus. M. tuberculosis has a predilection for the apices
of the lung, which have the highest PO2."
"P. AERuginosa is an AERobe","seen in burn wounds, nosocomial pneumonia, and pneumonias in cystic fibrosis patients."
,"Nagging Pests Must Breathe."
"Obligate anaerobes","xamples include Actinomyces. Bacteroides, and Clostridium. They lack catalase and/or superoxide dismutase and are thus susceptible to oxidative damage. Generally foul smelling (short-chain fatty acids), are difficult to culture, and produce gas in tissue (CO2 and H2)."
"Obligate aerobes","naerobes know their ABCs. Anaerobes are normal flora in"
,"GI tract, pathogenic elsewhere. AminO2glycosides are ineffective against anaerobes because these antibiotics require O2 to enter into bacterial cell."
"Obligate intracellular","ickettsia, Chlamydia. Can’t make own ATP./ Stay inside (cells) when it is Really Cold."
"Facultative intracellular","Salmonella, Neisseria, Brucella, Mycobacterium,"
,"Listeria, Francisella, Legionella, Yersinia.////Some Nasty Bugs May Live FacultativeLY."
"Spores: bacterial","Only certain gram-positive rods form spores when nutrients are limited (at end of stationary phase). Spores are highly resistant to destruction by heat and chemicals. Have dipicolinic acid in their core. Have no metabolic activity. Must autoclave to kill spores (as is done to surgical equipment)."
"Urease-positive bugs","H. pylori, Proteus, Klebsiella, Ureaplasma."
"α-hemolytic bacteria","Form green ring around colonies on blood agar. Include the following organisms: 1. Streptococcus pneumoniae (catalase negative and optochin sensitive) (see Color"
,"Image 1) 2. Viridans streptococci (catalase negative and optochin resistant)"
"β-hemolytic bacteria","Form clear area of hemolysis on blood agar. Include the following organisms: 1. Staphylococcus aureus (catalase and coagulase positive) 2. Streptococcus pyogenes––group A strep (catalase negative and bacitracin sensitive) 3. Streptococcus agalactiae––group B strep (catalase negative and bacitracin resistant) 4. Listeria monocytogenes (tumbling motility, meningitis in newborns, unpasteurized"
,"milk)"
"atalase/coagulase (gram-positive cocci)","Catalase degrades H2O2, an antimicrobial product of PMNs. H2O2 is a substrate for myeloperoxidase."
,"Staphylococci make catalase, whereas streptococci do not."
,"S. aureus makes coagulase, whereas S. epidermidis and S. saprophyticus do no"
"Staphylococcus aureus","1. Inflammatory disease––skin infections, organ"
,"abscesses, pneumonia 2. Toxin-mediated disease––toxic shock syndrome"
,"(TSST-1 toxin), scalded skin syndrome (exfoliative toxin), rapid-onset food poisoning (enterotoxins) (see Color Image 3)"
,"3. MRSA (methicillin-resistant S. aureus) infection––important cause of serious nosocomial and community-acquired infections. Resistant to β-lactams due to altered penicillin-binding protein."
"Streptococcus pyogenes (group A β-hemolytic streptococci) sequelae","Causes: 1. Pyogenic––pharyngitis, cellulitis, impetigo 2. Toxigenic––scarlet fever, toxic shock syndrome 3. Immunologic––rheumatic fever, acute
glomerulonephritis Bacitracin sensitive. Antibodies to M protein enhance
host defenses against S. pyogenes but can give rise
to rheumatic fever. ASO titer detects recent S. pyogenes infection."
,"Haryngitis gives you rheumatic “PHever” and glomerulonePHritis."
,"No “rheum” for SPECCulation: Subcutaneous nodules, Polyarthritis, Erythema marginatum, Chorea, Carditis."
"Streptococcus pneumoniae","Most common cause of: Meningitis"
,"Otitis media (in children) Pneumonia Sinusitis"
,"Encapsulated. IgA protease."
,"S. pneumoniae MOPS are Most OPtochin Sensitive."
,"Pneumococcus is associated with “rusty” sputum, sepsis in sickle cell anemia and splenectomy."
"Group B streptococci","Bacitracin resistant, β-hemolytic; cause pneumonia, meningitis, and sepsis, mainly in babies."
"Enterococci","Enterococci (Enterococcus faecalis and E. faecium) are penicillin G resistant and cause UTI and subacute endocarditis. Lancefield group D includes the enterococci and the nonenterococcal group D streptococci. Lancefield grouping is based on differences in the C carbohydrate on the bacterial cell wall. Variable hemolysis."
,"VRE (vancomycin-resistant enterococci) are an important cause of nosocomial infection."
"Staphylococcus epidermidis","nfects prosthetic devices and catheters. Component of normal skin flora; contaminates blood cultures."
"Viridans group streptococci","Viridans streptococci are α-hemolytic. They are normal flora of the oropharynx and cause dental caries (Streptococcus mutans) and subacute bacterial endocarditis (S. sanguis). Resistant to optochin, differentiating them from S. pneumoniae, which is α-hemolytic but is optochin sensitive."
,"Sanguis (Latin) = blood. There is lots of blood in the heart (endocarditis). Viridans group strep live in the mouth because they are not afraid of-the-chin (op-to-chin resistant)."
"lostridia (with exotoxins)","Gram-positive, spore-forming, obligate anaerobic bacilli.TETanus is TETanic paralysis (blocks glycine release [inhibitory neurotransmitter]) from Renshaw cells in spinal cord.
BOTulinum is from bad BOTtles of food and honey (causes a flaccid paralysis).
PERFringens PERForates a gangrenous leg.
DIfficile causes DIarrhea. Treat with metronidazole."
"Clostridium tetani ","produces an exotoxin causing tetanus."
"C. botulinum","produces a preformed, heat-labile toxin that inhibits ACh release at the neuromuscular junction, causing botulism. In adults, disease is caused by ingestion of preformed toxin. In babies, ingestion of bacterial spores in honey causes disease."
"C. perfringens ","produces α toxin (lecithinase) that can cause myonecrosis (gas gangrene) and hemolysis."
"C. difficile ","produces a cytotoxin, an exotoxin that kills enterocytes, causing pseudomembranous colitis. Often 2° to antibiotic use, especially clindamycin or ampicillin."
"Diphtheria (and exotoxin)","Caused by Corynebacterium diphtheriae via exotoxin encoded by β-prophage. Potent exotoxin inhibits protein synthesis via ADP ribosylation of EF-2."
,"Symptoms include pseudomembranous pharyngitis (grayish-white membrane) with lymphadenopathy."
,"Lab diagnosis based on gram-positive rods with metachromatic granules."
"Anthrax","Caused by Bacillus anthracis, a gram-positive, spore-forming rod that produces anthrax toxin. The only bacterium with a protein capsule."
,"Contact → malignant pustule (painless ulcer); can progress to bacteremia and death."
,"Inhalation of spores → flulike symptoms that rapidly progress to fever, pulmonary hemorrhage, mediastinitis, and shock."
,"Black skin lesions––vesicular papules covered by black eschar."
,"Woolsorters’ disease––inhalation of spores from contaminated wool."
"Listeria monocytogenes","Acquired by ingestion of unpasteurized milk/cheese or by vaginal transmission during birth. Form “actin rockets” by which they move from cell to cell."
