,
"muscle contraction ","A band is Always the same length)."
,"HIZ shrinkage "
"Endochondral ossification","Longitudinal bone growth. Cartilaginous model of bone is first made by chondrocytes. Osteoclasts and osteoblasts later replace with woven bone and remodel to lamellar bone."
"Osteoblast source","mesenchymal stem cells in periosteum."
"Membranous ossification","Flat bone growth (skull, facial bones, and axial skeleton). Woven bone formed directly without cartilage. Later remodeled to lamellar bone."
"Achondroplasia","Failure of longitudinal bone growth → short limbs. Membranous ossification is not affected. "
," Impaired cartilage maturation in growth plate caused by fibroblast growth factor receptor mutation. Normal life span and fertility."
,"constitutive activation of fibroblast growth factor receptor ( FGFR#) actually inhibits chondrocyte proliferation. Autosomal dominant inheritance. "
"osteoporosis ","reduction of primarily trabecular ( spongy) bone mass in spite of normal bone mineralization "
"Vertebral crush fractures","acute back pain, loss of height, kyphosis.
Distal radius (Colles’) fractures, vertebral wedge fractures.
Prophylaxis: exercise and calcium ingestion before age 30.
Treatment: estrogen and/or calcitonin; bisphosphonates or pulsatile PTH for severe cases. Glucocorticoids are contra- indicated."
"Osteopetrosis (marble bone disease)","Failure of normal bone resorption → thickened, dense bones. Bone defect is due to abnormal function of osteoclasts. Serum calcium, phosphate, and alkaline phosphatase are normal. ↓ marrow space leads to anemia, thrombocytopenia, infection. Genetic deficiency of carbonic anhydrase II. X-rays shows “Erlenmeyer flask” bones that flare out. Can result in cranial nerve impingement and palsies due to narrowed foramina."
"Osteomalacia/rickets","Defective mineralization/calcification of osteoid → soft bones"
"Osteitis fibrosa cystica","Caused by hyperparathyroidism. Characterized by “brown tumors” (cystic spaces lined by osteoclasts, filled with fibrous stroma and sometimes blood). High serum calcium, low serum phosphorus, and high ALP."
"Paget’s disease (osteitis deformans)","bnormal bone architecture caused by ↑ in both osteoblastic and osteoclastic activity. Possibly viral in origin. Serum calcium, phosphorus, and PTH levels are normal. ↑ ALP. Mosaic bone pattern; long bone chalk-stick fractures. ↑ blood flow from ↑ arteriovenous shunts may cause high-output CHF. Can lead to osteogenic sarcoma."
,"Hat size can be ↑; hearing loss is common due to auditory foramen narrowing."
"Polyostotic fibrous dysplasia","Bone is replaced by fibroblasts, collagen, and irregular bony trabeculae. Affects many bones"
"McCune-Albright syndrome"," a form of polyostotic fibrous dysplasia characterized by multiple unilateral bone lesions associated with endocrine abnormalities (precocious puberty) and unilateral pigmented skin lesions (café-au-lait spots/“coast of Maine” spots)."
"Osteoma","Associated with Gardner’s syndrome (FAP). New piece of bone grows on another piece of bone, often in the skull."
"Osteoid osteoma","nterlacing trabeculae of woven bone surrounded by osteoblasts. < 2 cm and found in proximal tibia and femur. Most common in men < 25 years of age."
"Osteoblastoma","Same morphologically as osteoid osteoma, but larger and found in vertebral column."
"Giant cell tumor osteoclastoma ","Occurs most commonly at epiphyseal end of long bones. Peak incidence 20–40 years"
,"of age. Locally aggressive benign tumor often around the distal femur, proximal tibial region (knee). Characteristic “double bubble” or “soap bubble” appearance on x-ray. Spindle-shaped cells with multinucleated giant cells."
"Osteochondroma (exostosis)","Most common benign bone tumor. Mature bone with cartilaginous cap. Usually in men < 25 years of age. Commonly originates from long metaphysis. Malignant transformation to chondrosarcoma is rare."
"Enchondroma","Benign cartilaginous neoplasm found in intramedullary bone. Usually distal extremities (vs. chondrosarcoma)."
