,
"Changes of CO2 / H+ will be first detected","peripheral chemoreceptors in arterial blood,"
,"although they are less sensitive. It needs time for the gas to enter the CSF."
"Arterioles","highest ratio of wall cross‐sectional area to lumen cross‐sectional area."
"Increased peripheral vascular resistance","the result of stimulating sympathetic adrenergic neurons. (Diaphoresis is sympathetic cholinergic)"
"During intense static exercise (e.g. weight lifting)","contraction of muscle will compress blood vessels and increase the PVR, decreasing the blood flow to the muscle. During normal exercise, metabolites will dilate the blood vessels."
"Anemia ↓RBC)","NOT decrease the arterial PO2 and O2 saturation. It will decrease venous PO2. What will be decreased in arteries is the O2‐carrying capacity of the blood."
"Autoregulation of GFR and RPF ","achieved by afferent constriction and efferent dilation."
"Glycogenolysis ","supply glucose for 16 ‐ 24 hrs. of fasting. Gluconeogenesis comes in after,"
,"peaking at 1.5 days. Ketone bodies rise after 1 week."
" Corpus luteum","secretes estrogens, progesterone, and relaxin. hCG maintains the corpus luteum"
,"during 1st trimester."
"Creatine","filtered and secreted in PT."
"Stomach lumen","Protective: mucus, gastrin, prostagladins. Damaging: H. pylori, aspirin, NSAIDs,"
,"ethanol, and bile salts."
"5α‐reductase","testosterone to DHEAS (more potent than testosterone)."
"Epinepherine:","decrease glycogen synthesis"
"glucocorticoids: ","increase glycogen syn"
"difference between glucagon and epinephrine","glucagon works on liver, epi works on muscle,"
,"adipose, and liver."
"Fertilization","occurs at ampulla, not fimbriae."
"volume ","ISF = ECF ‐ plasma volume. Plasma volume ‐ albumin; ECF ‐ inulin."
,"Blood volume ‐ Cr‐red cells; heavy water ‐ TBW."
"↑PCO2","increases cerebral blood flow."
"Atropine","won't affect BP because no parasympathetic on blood vessels."
"StAR (steroidogenic acute regulatory protein) mutation","Congenital lopoid adrenal hyperplasia"
,"(impaired conversion of cholesterol to pregnenolone)"
"Nerve regeneration rate","1 mm/day"
"Phase 4 of cardiac potential","Na3 ‐ Ca1 exchanger "
"KI right after radiation exposure","saturate the iodide pump, and thus stop the gland from"
,"uptake of the radioactive iodide."
"21‐hydroxylase deficiency ","most common form of congenital adrenal hyperplasia."
"after muscle contraction","Ca is pumped back into SR, and binds to calsequestrin."
"Both ACh and CCK","little effect on pancreatic HCO3‐ secretion alone, but produce additive"
,"response when combined with secretin."
"Granulosa cells","express LH receptors so that they can secrete testosterone after the formation"
,"of corpus luteum."
"Most oocytes in ovary","in prophase, meiosis I. After ovulation, one will become metaphase,"
,"meiosis II."
"Myosin ATPase activity ","determines the contraction velocity."
"Pregnancy","hGH ‐ looks like GH, but acts to stimulate IGF (anti‐insulin effect)"
"Muscle contraction","first few seconds: creatine‐P and ATP; 10‐100 secs: glycogen breakdown."
"Acetazolamide","CA inhibitor increases HCO3 excretion, decreases NH4+ excretion, which"
,"facilitates Na+ and K+ excretion, and water excretion."
"Blood flow to intestine after a fatty meal increases","due to CCK."
"Menopause:","LH, FSH, GnRH"
" CCK i","only hormone that inhibits gastric emptying."
"lympho drainage ","ight upper bodyright lymphatic ductright subclavian vein; Rest of bodythoracic duct"
,"left subclavian vein."
"Only colonic bacteria","modify primary bile acids to secondary (deconjugated)."
"The fetal adrenal cortex","synthesizes DHEA because it lacks 3‐beta‐hydroxysteroid"
,"dehydrogenase, and hence cannot produce the glucocorticoid and progesterone from"
,"pregnenolone."
" GIP ","released by presence of fat, carbo, or protein in GI. It is a strong stimulator of insulin"
,"release. Thus more insulin is released by oral glucose than IV."
"seminal vesicle","secretes the majority of seminal fluid (60%). Prostate gland secrets 20‐30%,"
,"including acid phosphatase, citric acid, calcium, clotting enzyme, proteolytic enzymes, proteins,"
,"profibrinolysin, and zinc."
"Transcutaneous electrical nerve","stimulation trigger inhibitory interneurons (gate‐keepers) in"
,"spinal cord which partially blocks the transmission of pain impulses."
"Allodynia","perception of pain following a normally innocuous stimulation."
"ppl living on high altitude:","arterial O2 content is the same as normal ppl (due to increase in"
,"hematocrit), but arterial PO2 (oxygen tension) and arterial O2 saturation are decreased."
"ACTH release","depends on circadian rhythm. GH, prolactin, and TSH depends on sleep cycle, not"
,"circadian rhythm."
"Acidosis/alkalosis with compensation","mixed "
"Normal exercise:","VEGF goes up, but bFGF doesn't go up unless the muscles are severely hypoxic"
,"or ischemic."
"Ketoacidosis, lactic acidosis, and uremic acidosis","haracterized by high anion gap (normal: 8 ‐"
,"16)."
"duodenum","main site of dietary lipid digestion, while the jejunum is the main site of lipid"
,"absorption. The ileum is the site of bile and vit B12 absorption"
"Cholecystectomy","result in increased rate of enterohepatic circulation (bile is constantly"
,"released into duodenum)."
"Adenosine and Ach","activates K+ channels and prolongs K+ flow (phase 4), and inhibits L‐type"
,"Ca2+ channels."
