,
"Woman presents with UTI positive for Proteus vulgaris.","Ammonium magnesium phosphate (struvite)."
"Patient describes a 2-year history of acetaminophen use.","Renal papillary necrosis."
"X-ray film shows massively enlarged kidneys bilaterally.","Adult polycystic kidney disease."
"Patient with CHF needs diuretic therapy but has a sulfa allergy.","Ethacrynic acid."
"Patient is diagnosed with a horseshoe kidney.","IMA."
"Patient presents with hypertension, hypokalemia, metabolic alkalosis, and low plasma renin.","Conn’s syndrome (1o hyperaldosteronism). Treat with spironolactone."
"transplantation","left kidney is taken during transplantation because it has a longer renal vein."
"Ureters: course","Ureters pass under uterine artery and under ductus deferens (retroperitoneal)."
,"water under bridge ( artery, ductus deferens) "
"Fluid compartments","ECF – PV = interstitial volume. 60–40–20 rule (% of body weight):
60% total body water 40% ICF 20% ECF
Plasma volume measured by radiolabeled albumin.
Extracellular volume measured by inulin.
Osmolarity = 290 mOsm. Plasma volume = ¼ ECF "
"glomerular filtration barrier","1. fenestrated capillary endothelium ( size barrier) 2. fused basement membrane with heparan sulfate ( negative charge barrier) 3. epithelial layer consisting of podocyte foot process. "
"nephrotic syndrome ","lost negative charge "
"Renal clearance","Cx = UxV/Px = volume of plasma from which the substance is completely cleared per unit time."
,"Cx= mL/min. Cx= GFR= no net secretion or reabsorption "
"Glomerular filtration barrier","Inulin can be used to calculate GFR because it is freely filtered and is neither reabsorbed nor secreted."
,"GFR = Uinulin × V/Pinulin = Cinulin = Kf [(PGC – PBS) – (πGC – πBS)]."
,"(GC = glomerular capillary; BS = Bowman’s space.) πBS normally equals zero."
,"Creatinine clearance is an approximate measure of GFR."
"Effective renal plasma flow","ERPF can be estimated using PAH because it is both filtered and actively secreted in the proximal tubule. All PAH entering the kidney is excreted."
,"ERPF = UPAH × V/PPAH = CPAH. RBF = RPF/(1 − Hct). ERPF underestimates true RPF by ~10%."
"Filtration fraction ","GFR/RPF. Normal FF= 20% "
"Filtered load","GFR × plasma concentration."
"NSAIDs","Prostaglandins dilate afferent arteriole (↑ RPF, ↑ GFR, so FF remains constant)"
"ACE inhibitor","Angiotensin II preferentially - constricts efferent arteriole (↓ RPF, ↑ GFR, so FF increases)"
"constriction of ureter ","decrease GFR, RPF no change, Decrease FF( GFR/RPF) "
"fetal alcohol syndrome ","thin upper lip, underdeveloped jaw, smooth philtrum, small heard."
"free water clearance ","Ability to dilute urine. Given urine flow rate, urine osmolarity, and plasma osmolarity, be able to calculate free water clearance:"
,"CH2O = V − Cosm. V = urine flow rate; Cosm = UosmV/Posm."
,"With ADH: CH2O < 0. Without ADH: CH2O > 0. Isotonic urine: CH2O = 0."
"calculation of reabsorption and secretion rate ","Filtered load = GFR x Px. Excretion rate= V * Ux. "
"hartnup's disease","deficiency of neutral amino acid ( tryptophan) transporter. Results in pellagra. "
"PTH ( proximal tubule) ","inhibits Na+/phosphate cotransport = phosphate excretion "
"ATII  ( proximal tubule) ","stimulate Na/H exchange = increase Na and H2O reabsorption ( permitting contraction alkalosis) "
"net secretion ","PAH, Creatinine, inulin, Urea, Cl-, K+, Na+. "
"net reabsorption ","Pi, HCO3, Amino acid, glucose. "
"action of antiotension II ","1. Potent vasoconstriction 2. Release of aldosterone from adrenal cortex 3. Release of ADH from posterior pituitary 4. Stimulates hypothalamus → ↑ thirst Overall, angiotensin II serves to ↑ intravascular volume and ↑ BP."
,"5. increase proximal tubule Na/H activity = H2O reabsorption ( can permit contraction alkalosis) "
"Juxtaglomerular apparatus (JGA)","JGA––JG cells (modified smooth muscle of afferent arteriole) and macula densa (Na+ sensor, part of the distal convoluted tubule). JG cells secrete renin (leading to ↑ angiotensin II and aldosterone levels) in response to ↓ renal blood pressure, ↓ Na+ delivery to distal tubule, and ↑ sympathetic tone."
"Kidney endocrine functions","Paracrine Secretion of prostaglandins that vasodilate the afferent arterioles to ↑ GFR"
,"NSAIDs can cause acute renal failure in high vasoconstrictive states by inhibiting the renal production of prostaglandins, which keep the afferent arterioles vasodilated to maintain GFR."
"ANP ","ecreted in response to ↑ atrial pressure Causes ↑ GFR and ↑ Na+ excretion. With no compensatory Na reabsorption in distal nephron to lower volume. Net effect= Na loss and volume loss."
"Parathyroid hormone (PTH)","Secreted in response to ↓ plasma [Ca2+]"
,"Causes ↑ [Ca2+] reabsorption (DCT), ↓ PO43- reabsorption (PCT), 1,25 (OH)2 vitamin D production → ↑ Ca+ and PO43- absorption from gut."
"Angiotensin II (AT II)","syn in response to decrease BP.  Cause efferent arteriole contriction = increase GFR ad FF, but with compensatory Na reabsorption in proximal and distal nephron. Net effect: preservation of renal function in low volume state ( increase FF) with simutaneous Na reabsorption ( both proximal and distal ) to decrease additional volume loss. "
"ADH (vasopressin)","Secreted in response to ↑ plasma osmolarity and ↓ blood volume"
,"Binds to receptors on principal cells, causing ↑ number of water channels and ↑ H2O reabsorption"
"aldosterone ","secreted in response to decrease blood volume ( via ATII ) and increase plasma [K+], causes increase Na reabsorption, increase indirect K+ secretion, increase H+ secretion. "
"Potassium shifts out of cell ","1. insulin deficiency ( decrease Na/K ATPase) "
,"2. B-adrenergic antagonists ( decrease Na/K ATPase) "
,"3. acidosis, severe exercise ( K/H exchange) "
,"4. hyperosmolariy "
,"5. digitalis ( block Na/K ATPase"
,"6. cell lysis "
"potassium shifts into cell ","1. insulin deficiency "
,"2. B-adrenergic agonists ( increase Na/K ATPase) "
,"3. alkalosis ( K/H exchanger) "
,"4. Hypoosmolarity "
"Respiratory acidosis","Hypoventilation"
,"–Airway obstruction"
,"–Acute lung disease –Chronic lung disease –Opioids, narcotics,"
,"sedatives –Weakening of"
,"respiratory muscles"
"Metabolic acidosis with compensation increase anion gap","MUDPILES: Methanol Uremia Diabetic ketoacidosis Paraldehyde"
,"or Phenformin Iron tablets or INH Lactic acidosis Ethylene glycol Salicylates"
"Normal anion gap (8–12 mEq/L) metabolic acidosis ","Diarrhea –Glue sniffing –Renal tubular acidosis –Hyperchloremia"
"Respiratory alkalosis","Hyperventilation (e.g., early high-"
,"altitude exposure) –Aspirin ingestion (early)"
"Metabolic alkalosis with compensation","Diuretic use –Vomiting"
,"–Antacid use –Hyperaldosteronism"
"renal tubular acidosis type 1 ","defect in collecting tubule's ability to excrete H+. Associated with hypokalemia and risk for calcium- containing kidney stones. "
