,
"	24-year-old man develops testicular cancer.","Para-aortic lymph nodes (recall descent of testes during development)."
"Woman with a previous cesarean section has a scar in her lower uterus close to the opening of the os.","Placenta previa."
"Obese woman presents with hirsutism and ↑ levels of serum testosterone.","Polycystic ovarian syndrome."
"55-year-old postmenopausal woman is on tamoxifen therapy.","Endometrial carcinoma."
"antierectile ","NE= increase [ca] in= smooth muscle contraction= vasoconstriction "
"emission ","sympathetic nervous system = hypogastric nerve"
"erection ","parasympathetic nervous system= pelvic nerve "
"ejaculation ","visceral and somatic nerves = pudendal nerve"
"parasympathetic ","NO = increase cGMP= ...."
,"sidenafil and vardenafil inhibit cGMP breakdown"
"Derivation of sperm parts","Acrosome is derived from the Golgi apparatus and flagellum (tail) from one of the centrioles."
,"Middle piece (neck) has Mitochondria. Feeds on Fructose."
,"tail forms from centrioles "
"spermatogonia ","germ cells. Maintain germ pool and produce 1 spermatocytes. Lines siminiferous tubule "
"sertoli cell ","non germ cell. Secret inhibin= inhibit fSH. "
,"secret androgen binding protein ( ABP) = maintain levels of testosterone"
,"tight junctions beteen adjacent sertoli cells form blood-testis barrier= isolate gametes from autoimmune attack. "
,"produce anti-mullerian hormone "
,"sertoli cell support sperm synthesis "
"leydig cells ","endocrine cells. Secrete testosterone. Located at interstitium. "
"simenal vesicle ","60% of volume. Fructose, ascorbic acid, prostaglandins, phosphorylcholine, flavins. "
"prostate products ","zinc, citric acid, phospholipids, acid phosphatase, fibrinolysin"
"Spermatogenesis"," begins at puberty with spermatogonia (type A and type B). Full development takes 2 months. Spermatogenesis occurs in Seminiferous tubules."
,"produce spermatids that undergo spermiogenesis ( loss of cytoplasmic contents, gain of acrosomal cap) to form mature spermatozoan. "
"FSH ","sertoli cell= sperm production "
"LH","Leydig cell= testosterone "
"spermatogonium ","Diploid = 2 N. 1 spermatocyte diploid ( 4N) = sister chromatids "
"2 spermatocyte haploid ","2N. sister chromatids. Productor after first meiosis I "
"androgens ","Testosterone, dihydrotestosterone (DHT), androstenedione."
"source of androgen ","DHT and testosterone (testis), androstenedione (adrenal)"
"potency ","Potency––DHT > testosterone > androstenedione."
"Testosterone","converted to DHT by the enzyme 5α- reductase, which is inhibited by finasteride."
"estosterone and androstenedione are converted to estrogen","n adipose tissue and Sertoli cells by enzyme aromatase."
"function of testosteron ","1. differentiation of epididymis, vas deferens, seminal vesicles, 2. Growth spurt: penis, seminal vesicles, sperm, muscle, RBCs, 3. deepening of voice, 4. closing of epiphyseal plates ( via estrogen converted from testosterone) 5. lipido. "
"DHT ","early= differentiation of penis, scrotum, prostate. "
,"late= prostate growth, balding, sebaceous gland activity. "
"exogenous testosterone","inhibition of HPG axis, = decrease intratesticular testosterone= decrease testicular size = azoospermia "
"Estrogen","Potency––estradiol > estrone > estriol."
,"Pregnancy: 50-fold ↑ in estradiol and"
,"estrone 1000-fold ↑ in estriol"
,"(indicator of fetal well- being)"
"estrogen receptors ","expressed in the nuclei of cells. "
"function of estrogen ","1. development of genitalia and breast, femal fat distribution"
,"2. growth of follicle, endometrial proliferation, increase myometrial excitability "
,"3. upregulation of estrogen, LH and progesterone receptors, feedback inhibition of FSH and LH surge. Stimulation of prolactin secretion ( but blocks its actions at breast) "
,"4. increase  transport of protein, SHBG, increase HDL and decrease LDL "
"progesterone Source","Corpus luteum, placenta, adrenal cortex, testes."
"function of progesteron ","1. Stimulation of endometrial glandular secretions"
,"and spiral artery development 2. Maintenance of pregnancy 3. ↓ myometrial excitability 4. Production of thick cervical mucus, which"
,"inhibits sperm entry into the uterus 5. ↑ body temperature 6. Inhibition of gonadotropins (LH, FSH) 7. Uterine smooth muscle relaxation (preventing"
,"Contractions) 8. decrease estrogen receptor expressivity "
